Species Type,Genus,Species,Brain mass (g),Body mass (g)
B,Ardea,cinerea,8.189,1320
B,Ardea,cinerea,8.304,1000
B,Emberiza,cioides,0.632,17.685
B,Passerina,ciris,0.54,17.207
B,Emberiza,cirlus,0.733,16.653
B,Emberiza,citrinella,0.804,30.351
B,Emberiza,citrinella,0.787,29.845
B,Emberiza,citrinella,0.781,27.379
B,Emberiza,citrinella,0.754,29.139
B,Emberiza,citrinella,0.82,28.1
B,Emberiza,citrinella,0.788,27.286
B,Emberiza,citrinella,0.85,25.6
B,Emberiza,citrinella,0.85,25.6
B,Emberiza,citrinella,0.551,30.073
B,Emberiza,citrinella,0.748,28.41
B,Emberiza,citrinella,0.73,27.4
B,Emberiza,citrinella,0.853,26.998
B,Emberiza,citrinella,0.853,26.998
B,Emberiza,citrinella,0.754,25.733
B,Emberiza,citrinella,0.668,24.072
B,Emberiza,citrinella,0.93,29.8
B,Emberiza,citrinella,0.754,30.376
B,Emberiza,citrinella,0.596,29.61
B,Emberiza,citrinella,0.719,26.643
B,Emberiza,citrinella,0.73,33.3
B,Emberiza,citrinella,0.75,27.1
B,Emberiza,citrinella,0.669,28.737
B,Emberiza,citrinella,0.822,29.915
B,Emberiza,citrinella,0.85,33.1
B,Emberiza,citrinella,0.767,26.259
B,Emberiza,citrinella,0.82,27.7
B,Emberiza,citrinella,0.677,28.552
B,Emberiza,citrinella,0.86,30.6
B,Emberiza,citrinella,0.819,27.758
B,Emberiza,citrinella,0.737,27.365
B,Emberiza,citrinella,0.824,30.195
B,Emberiza,citrinella,0.64,28.405
B,Emberiza,citrinella,0.739,27.37
B,Emberiza,citrinella,0.7,30.7
B,Emberiza,citrinella,0.78,29.1
B,Emberiza,citrinella,0.92,28.3
B,Emberiza,citrinella,0.756,28.889
B,Emberiza,citrinella,0.752,20.544
B,Emberiza,citrinella,0.795,29.013
B,Emberiza,citrinella,0.8,27.4
B,Emberiza,citrinella,0.668,22.545
B,Emberiza,citrinella,0.712,27.644
B,Emberiza,citrinella,0.742,31.793
B,Emberiza,citrinella,0.735,27.042
B,Emberiza,citrinella,0.832,29.3
B,Emberiza,citrinella,0.75,29.379
B,Emberiza,citrinella,0.757,26.808
B,Emberiza,citrinella,0.807,26.174
B,Emberiza,citrinella,0.557,27.563
B,Emberiza,citrinella,0.683,28.475
B,Emberiza,citrinella,0.683,28.475
B,Emberiza,citrinella,0.651,27.543
B,Emberiza,citrinella,0.65,26.613
B,Emberiza,citrinella,0.655,27.909
B,Emberiza,citrinella,0.847,26.531
B,Emberiza,citrinella,0.717,27.833
B,Emberiza,citrinella,0.771,24.927
B,Emberiza,citrinella,0.699,19.669
B,Emberiza,citrinella,0.77,25.85
B,Emberiza,citrinella,0.817,29.505
B,Emberiza,citrinella,0.789,29.28
B,Emberiza,citrinella,0.791,31.425
B,Emberiza,citrinella,0.791,31.425
B,Emberiza,citrinella,0.686,28.031
B,Emberiza,citrinella,0.678,27.286
B,Emberiza,citrinella,0.785,29.669
B,Emberiza,citrinella,0.861,27.003
B,Emberiza,citrinella,0.8,31.1
B,Emberiza,citrinella,0.88,28.918
B,Emberiza,citrinella,0.829,31.041
B,Emberiza,citrinella,0.9,31.8
B,Emberiza,citrinella,0.8,31.1
B,Emberiza,citrinella,0.9,26.8
B,Emberiza,citrinella,0.75,27.8
B,Emberiza,citrinella,0.769,27.122
B,Emberiza,citrinella,0.742,29.131
B,Emberiza,citrinella,0.899,28.205
B,Emberiza,citrinella,0.696,28.897
B,Emberiza,citrinella,0.816,27.724
B,Emberiza,citrinella,0.862,23.592
B,Emberiza,citrinella,0.743,18.983
B,Emberiza,citrinella,0.82,29.98
B,Emberiza,citrinella,0.71,29.5
B,Emberiza,citrinella,0.8,27.3
B,Emberiza,citrinella,0.75,30.1
B,Emberiza,citrinella,0.7,26.9
B,Emberiza,citrinella,0.85,22.4
B,Emberiza,citrinella,0.95,31.4
B,Serinus,citrinelloides,0.496,9.612
B,Atlapetes,citrinellus,0.9,17.5
B,Bucephala,clangula,5.33,580
B,Bucephala,clangula,5.4,1053
B,Bucephala,clangula,6.283,1750
B,Bucephala,clangula,6.14,1038
B,Bucephala,clangula,6.459,870
B,Bucephala,clangula,5.4,768
B,Coccothraustes,coccothraustes,1.662,54.086
B,Coccothraustes,coccothraustes,1.25,58.4
B,Coccothraustes,coccothraustes,1.677,67.345
B,Coccothraustes,coccothraustes,1.7,53.2
B,Coccothraustes,coccothraustes,1.55,44.5
B,Coccothraustes,coccothraustes,1.4,54.6
B,Coccothraustes,coccothraustes,1.6,57.5
B,Coccothraustes,coccothraustes,1.549,49.865
B,Coccothraustes,coccothraustes,1.52,57
B,Coccothraustes,coccothraustes,1.28,52.4
B,Coccothraustes,coccothraustes,1.72,56.2
B,Coccothraustes,coccothraustes,1.63,52.2
B,Coccothraustes,coccothraustes,1.7,59.8
B,Coccothraustes,coccothraustes,1.53,55.5
B,Coccothraustes,coccothraustes,1.702,55.767
B,Coccothraustes,coccothraustes,1.621,56.12
B,Coccothraustes,coccothraustes,1.56,57
B,Coccothraustes,coccothraustes,1.588,35.265
B,Coccothraustes,coccothraustes,1.756,51.111
B,Coccothraustes,coccothraustes,1.753,55.664
B,Coccothraustes,coccothraustes,1.6,54.9
B,Coccothraustes,coccothraustes,1.747,58.311
B,Coccothraustes,coccothraustes,1.633,56.481
B,Coccothraustes,coccothraustes,1.751,52.95
B,Coccothraustes,coccothraustes,1.691,57.588
B,Coccothraustes,coccothraustes,1.6,54.9
B,Coccothraustes,coccothraustes,1.518,61.877
B,Coccothraustes,coccothraustes,1.65,56.9
B,Coccothraustes,coccothraustes,1.407,44.562
B,Coccothraustes,coccothraustes,1.7,47.1
B,Chloropsis,cochinchinensis,0.89,22.6
B,Fringilla,coelebs,0.63,26.71
B,Fringilla,coelebs,0.762,24.405
B,Fringilla,coelebs,0.79,19.2
B,Fringilla,coelebs,0.669,21.97
B,Fringilla,coelebs,0.513,26.257
B,Fringilla,coelebs,0.721,21.134
B,Fringilla,coelebs,0.692,23.023
B,Fringilla,coelebs,0.567,20.99
B,Fringilla,coelebs,0.697,23.763
B,Fringilla,coelebs,0.611,22.106
B,Fringilla,coelebs,0.81,20.7
B,Fringilla,coelebs,0.63,22.971
B,Fringilla,coelebs,0.67,22.55
B,Fringilla,coelebs,0.97,23.2
B,Fringilla,coelebs,0.653,20.218
B,Fringilla,coelebs,0.7,26.8
B,Fringilla,coelebs,0.717,21.717
B,Fringilla,coelebs,0.767,15.688
B,Fringilla,coelebs,0.85,24.7
B,Fringilla,coelebs,0.683,22.716
B,Fringilla,coelebs,0.75,23.723
B,Fringilla,coelebs,0.689,24.587
B,Fringilla,coelebs,0.69,22.542
B,Fringilla,coelebs,0.639,20.531
B,Fringilla,coelebs,0.679,23.125
B,Fringilla,coelebs,0.715,23.99
B,Fringilla,coelebs,0.701,25.857
B,Fringilla,coelebs,0.65,22.92
B,Fringilla,coelebs,0.66,25.95
B,Fringilla,coelebs,0.73,25.9
B,Fringilla,coelebs,0.75,22.6
B,Fringilla,coelebs,0.718,22.63
B,Fringilla,coelebs,0.717,28.104
B,Fringilla,coelebs,0.761,26.793
B,Fringilla,coelebs,0.75,23.95
B,Fringilla,coelebs,0.754,23.556
B,Fringilla,coelebs,0.74,24.907
B,Fringilla,coelebs,0.82,24.507
B,Fringilla,coelebs,0.77,27.08
B,Fringilla,coelebs,0.78,24.4
B,Fringilla,coelebs,0.66,16.955
B,Fringilla,coelebs,0.6,16.95
B,Fringilla,coelebs,0.643,25.825
B,Fringilla,coelebs,0.838,23.165
B,Fringilla,coelebs,0.728,22.9
B,Fringilla,coelebs,0.78,24
B,Fringilla,coelebs,0.739,26.81
B,Fringilla,coelebs,0.719,26.128
B,Fringilla,coelebs,0.758,25.163
B,Fringilla,coelebs,0.77,21.1
B,Fringilla,coelebs,0.88,24.45
B,Fringilla,coelebs,0.88,25.7
B,Fringilla,coelebs,0.731,25.221
B,Fringilla,coelebs,0.75,23.1
B,Fringilla,coelebs,0.83,23.5
B,Fringilla,coelebs,0.678,18.307
B,Fringilla,coelebs,0.82,23.5
B,Fringilla,coelebs,0.708,25.71
B,Fringilla,coelebs,0.81,22.8
B,Fringilla,coelebs,0.76,24.95
B,Fringilla,coelebs,0.63,23.35
B,Fringilla,coelebs,0.754,23.764
B,Fringilla,coelebs,0.72,22.738
B,Fringilla,coelebs,0.741,24.23
B,Fringilla,coelebs,0.643,20.747
B,Fringilla,coelebs,0.719,22.427
B,Fringilla,coelebs,0.858,24.861
B,Fringilla,coelebs,0.713,27.085
B,Fringilla,coelebs,0.775,23.35
B,Fringilla,coelebs,0.688,27.125
B,Fringilla,coelebs,0.672,26.025
B,Fringilla,coelebs,0.804,23.632
B,Fringilla,coelebs,0.712,23.986
B,Fringilla,coelebs,0.71,23.798
B,Fringilla,coelebs,0.76,27.07
B,Fringilla,coelebs,0.685,23.233
B,Fringilla,coelebs,0.725,23.445
B,Fringilla,coelebs,0.705,27.57
B,Fringilla,coelebs,0.764,24.237
B,Fringilla,coelebs,0.716,24.585
B,Fringilla,coelebs,0.768,23.512
B,Fringilla,coelebs,0.78,23.1
B,Fringilla,coelebs,0.72,23.25
B,Fringilla,coelebs,0.752,29.658
B,Fringilla,coelebs,0.742,23.857
B,Fringilla,coelebs,0.777,24.968
B,Fringilla,coelebs,0.85,24.3
B,Fringilla,coelebs,0.82,28.55
B,Fringilla,coelebs,0.8,26.1
B,Fringilla,coelebs,0.704,24.612
B,Fringilla,coelebs,0.747,24.588
B,Fringilla,coelebs,0.7,28.9
B,Fringilla,coelebs,0.738,23.063
B,Fringilla,coelebs,0.738,23.063
B,Fringilla,coelebs,0.759,23.321
B,Fringilla,coelebs,0.602,20.956
B,Fringilla,coelebs,0.646,17.532
B,Fringilla,coelebs,0.854,19.056
B,Fringilla,coelebs,0.724,18.713
B,Fringilla,coelebs,0.69,23.315
B,Fringilla,coelebs,0.716,28.384
B,Fringilla,coelebs,0.724,26.334
B,Fringilla,coelebs,0.7,24.185
B,Fringilla,coelebs,0.643,24.078
B,Fringilla,coelebs,0.71,24.25
B,Fringilla,coelebs,0.637,23.947
B,Fringilla,coelebs,0.65,26.15
B,Fringilla,coelebs,0.72,23
B,Fringilla,coelebs,0.88,27
B,Fringilla,coelebs,0.69,23.9
B,Fringilla,coelebs,0.82,25.9
B,Fringilla,coelebs,0.59,24.05
B,Fringilla,coelebs,0.85,25.65
B,Fringilla,coelebs,0.71,24.3
B,Fringilla,coelebs,0.78,23.25
B,Fringilla,coelebs,0.88,26.5
B,Fringilla,coelebs,0.83,24.25
B,Forpus,coelestis,1.198,27.809
B,Forpus,coelestis,1.124,21.938
B,Phasianus,colchicus,3.921,930
B,Phasianus,colchicus,3.222,964
B,Phasianus,colchicus,3.615,1195
B,Phasianus,colchicus,3.235,770
B,Phasianus,colchicus,3.45,957
B,Phasianus,colchicus,3.21,1220
B,Phasianus,colchicus,3.208,1445
B,Phasianus,colchicus,3.289,625
B,Phasianus,colchicus,4.6,1400
B,Phasianus,colchicus,5.011,1490
B,Phasianus,colchicus,3.752,1300
B,Phasianus,colchicus,4.2,1200
B,Phasianus,colchicus,3.117,1220
B,Phasianus,colchicus,3.863,1300
B,Phasianus,colchicus,3.696,1480
B,Phasianus,colchicus,4.212,1245
B,Phasianus,colchicus,4.218,1360
B,Phasianus,colchicus,3.809,1265
B,Phasianus,colchicus,4.413,1456
B,Phasianus,colchicus,3.623,1560
B,Phasianus,colchicus,3.999,1460
B,Phasianus,colchicus,3.708,1410
B,Phasianus,colchicus,3.9,1221
B,Phasianus,colchicus,4.763,1425
B,Phasianus,colchicus,3.8,1480
B,Phasianus,colchicus,3.44,1360
B,Phasianus,colchicus,4.508,1410
B,Phasianus,colchicus,4.158,1100
B,Phasianus,colchicus,4.068,1240
B,Phasianus,colchicus,4.049,1190
B,Phasianus,colchicus,4.049,1190
B,Phasianus,colchicus,4.552,1310
B,Phasianus,colchicus,4.105,1360
B,Phasianus,colchicus,4.217,1400
B,Phasianus,colchicus,4.216,1440
B,Phasianus,colchicus,3.748,1590
B,Phasianus,colchicus,3.987,1740
B,Phasianus,colchicus,3.985,1350
B,Phasianus,colchicus,3.985,1350
B,Phasianus,colchicus,4.3,1190
B,Phasianus,colchicus,4.02,1280
B,Phasianus,colchicus,3.95,1290
B,Phasianus,colchicus,3.85,1300
B,Phasianus,colchicus,3.9,1300
B,Phasianus,colchicus,4.1,1310
B,Phasianus,colchicus,4.55,1330
B,Phasianus,colchicus,4.45,1340
B,Phasianus,colchicus,4.07,1350
B,Phasianus,colchicus,3.98,1400
B,Phasianus,colchicus,4.1,1400
B,Phasianus,colchicus,4.2,1400
B,Phasianus,colchicus,3.88,1410
B,Phasianus,colchicus,4.17,1420
B,Phasianus,colchicus,3.82,1450
B,Phasianus,colchicus,4.33,1480
B,Phasianus,colchicus,3.98,1490
B,Phasianus,colchicus,3.98,1505
B,Phasianus,colchicus,4.42,1540
B,Phasianus,colchicus,4.6,1540
B,Phasianus,colchicus,4.58,1550
B,Phasianus,colchicus,4.22,1570
B,Phasianus,colchicus,4.35,1620
B,Phasianus,colchicus,4.3,1670
B,Phasianus,colchicus,4.42,1680
B,Phasianus,colchicus,3.95,1720
B,Phasianus,colchicus,4.42,1730
B,Prunella,collaris,0.97,45.1
B,Lanius,collurio,0.924,24.667
B,Lanius,collurio,0.93,28.2
B,Lanius,collurio,0.892,27.663
B,Lanius,collurio,2.38,64
B,Phylloscopus,collybita,0.25,7.7
B,Phylloscopus,collybita,0.377,8.6
B,Phylloscopus,collybita,0.37,7.5
B,Phylloscopus,collybita,0.37,6.7
B,Phylloscopus,collybita,0.4,7.1
B,Phylloscopus,collybita,0.242,5.972
B,Phylloscopus,collybita,0.34,7.5
B,Phylloscopus,collybita,0.5,7.4
B,Phylloscopus,collybita,0.278,8.621
B,Phylloscopus,collybita,0.35,8.7
B,Phylloscopus,collybita,0.307,8.64
B,Phylloscopus,collybita,0.274,7.526
B,Phylloscopus,collybita,0.348,10.875
B,Phylloscopus,collybita,0.233,9.274
B,Erythrura,coloria,0.45,11.7
B,Cepphus,columba,3.339,347.501
B,Falco,columbarius,3.288,224.745
B,Cygnus,columbianus,17.75,6000
B,Cygnus,columbianus,17.896,5000
B,Sylvia,communis,0.55,15.2
B,Sylvia,communis,0.488,15.484
B,Sylvia,communis,0.499,16.334
B,Sylvia,communis,0.36,15.68
B,Sylvia,communis,0.514,14.912
B,Sylvia,communis,0.514,17.574
B,Sylvia,communis,0.49,14.929
B,Sylvia,communis,0.65,14.9
B,Sylvia,communis,0.6,14.9
B,Sylvia,communis,0.438,13.625
B,Sylvia,communis,0.435,13.736
B,Sylvia,communis,0.523,13.472
B,Sylvia,communis,0.423,14.406
B,Sylvia,communis,0.485,13.221
B,Sylvia,communis,0.487,12.685
B,Sylvia,communis,0.382,13.525
B,Sylvia,communis,0.545,13.162
B,Sylvia,communis,0.51,13
B,Sylvia,communis,0.63,14.1
B,Sylvia,communis,0.49,14.3
B,Sylvia,communis,0.528,13.385
B,Sylvia,communis,0.443,13.881
B,Aegithalos,concinnus,0.307,4.23
B,Aegithalos,concinnus,0.38,5.2
B,Forpus,conspicillatus,1.1,20.55
B,Corvus,corax,15.673,1435
B,Corvus,corax,12.94,1180
B,Corvus,corax,14.52,1350
B,Corvus,corax,12.72,880
B,Corvus,corax,15.75,1370
B,Corvus,corax,15.595,1200
B,Corvus,corax,16.189,1500
B,Corvus,corax,16.1,1460
B,Eunymphicus,cornutus,2.886,66.218
B,Dendroica,coronata,0.468,12.392
B,Dendroica,coronata,0.498,12.472
B,Paroaria,coronata,1,35.4
B,Paroaria,coronata,1.15,29
B,Paroaria,coronata,1.15,31
B,Paroaria,coronata,1.07,31.2
B,Paroaria,coronata,1.3,32.5
B,Paroaria,coronata,1.27,33.9
B,Paroaria,coronata,1.32,35.2
B,Paroaria,coronata,1.32,35.5
B,Paroaria,coronata,1.18,38
B,Vanellus,coronatus,1.55,108.5
B,Corvus,corone,8.3,516
B,Corvus,corone,8.735,490
B,Corvus,corone,7.9,485
B,Corvus,corone,9.48,651
B,Corvus,corone,6.96,551.5
B,Corvus,corone,7.7,497.2
B,Corvus,corone,8.5,479
B,Corvus,corone,9.52,498
B,Corvus,corone,8.6,555
B,Corvus,corone,7.97,479.9
B,Corvus,corone,7.88,414.6
B,Corvus,corone,7.46,345.4
B,Corvus,corone,9.3,464.4
B,Corvus,corone,8.9,478
B,Corvus,corone,8.63,491.3
B,Corvus,corone,7.29,500.2
B,Corvus,corone,7.24,509.4
B,Corvus,corone,10.188,670
B,Corvus,corone,9.248,594
B,Corvus,corone,9.55,558.5
B,Corvus,corone,9.23,608.1
B,Corvus,corone,9.1,613
B,Corvus,corone,9.33,593.3
B,Corvus,corone,9.93,565
B,Corvus,corone,8.058,565
B,Corvus,corone,7.349,540
B,Corvus,corone,7.85,596.5
B,Corvus,corone,9.77,661.7
B,Corvus,corone,8.7,569.5
B,Corvus,corone,9.37,519
B,Corvus,corone,8.55,594.5
B,Corvus,corone,7.48,538.5
B,Corvus,corone,6.97,427
B,Corvus,corone,9.062,640
B,Corvus,corone,9.064,524
B,Coturnix,coturnix,0.88,120.7
B,Anas,crecca,3.116,305
B,Anas,crecca,3.25,252.6
B,Anas,crecca,3.05,271.7
B,Anas,crecca,3.45,155.5
B,Anas,crecca,3.15,187.5
B,Anas,crecca,2.95,196
B,Anas,crecca,2.934,366.3
B,Anas,crecca,2.855,368
B,Anas,crecca,2.689,353.33
B,Anas,crecca,2.9,361
B,Anas,crecca,3,364
B,Crex,crex,1.154,137.396
B,Crex,crex,1.26,133.8
B,Alcedo,cristata,0.29,13.15
B,Alcedo,cristata,0.38,8.95
B,Alcedo,cristata,0.36,10.6
B,Galerida,cristata,1.007,42.593
B,Galerida,cristata,1.2,41.3
B,Galerida,cristata,1.03,42.5
B,Cyanocitta,cristata,3.02,67.4
B,Cyanocitta,cristata,2.98,88
B,Gubernatrix,cristata,1.18,52.8
B,Gubernatrix,cristata,1.18,27.6
B,Gubernatrix,cristata,1.38,29.55
B,Gubernatrix,cristata,1.2,34.5
B,Acridotheres,cristatellus,2.31,122.38
B,Colinus,cristatus,1,122.7
B,Pavo,cristatus,6.7,3060
B,Pavo,cristatus,5.959,2940
B,Pavo,cristatus,7.003,3500
B,Pavo,cristatus,7.144,4000
B,Pavo,cristatus,7.52,5000
B,Pavo,cristatus,8.591,5000
B,Pavo,cristatus,7.458,5000
B,Pavo,cristatus,7.458,5000
B,Pavo,cristatus,6.996,4500
B,Lanius,cristatus,0.97,31.1
B,Parus,cristatus,0.525,10.091
B,Parus,cristatus,0.426,10.218
B,Parus,cristatus,0.733,11.68
B,Parus,cristatus,0.698,11.714
B,Parus,cristatus,0.601,9.85
B,Parus,cristatus,0.614,10.545
B,Podiceps,cristatus,3.7,995.5
B,Podiceps,cristatus,3.32,823
B,Podiceps,cristatus,3.952,1040
B,Podiceps,cristatus,3.952,1040
B,Podiceps,cristatus,4.06,1016.2
B,Podiceps,cristatus,3.41,971.6
B,Podiceps,cristatus,3.6,1077
B,Crossoptilon,crossoptilon,5.238,1820
B,Leptoptilos,crumeniferus,30.14,7130
B,Columbina,cruziana,0.52,49.7
B,Lonchura,cucullata,0.319,8.396
B,Carduelis,cucullata,0.459,8.846
B,Carduelis,cucullata,0.46,9.55
B,Carduelis,cucullata,0.501,12.071
B,Carduelis,cucullata,0.421,8.517
B,Carduelis,cucullata,0.455,11.394
B,Coryphospingus,cucullatus,0.602,14.887
B,Coryphospingus,cucullatus,0.528,12.762
B,Coryphospingus,cucullatus,0.78,12.301
B,Geopelia,cuneata,0.561,36.988
B,Sylvia,curruca,0.55,13.4
B,Sylvia,curruca,0.417,11.508
B,Sylvia,curruca,0.39,11.15
B,Sylvia,curruca,0.438,11.109
B,Sylvia,curruca,0.47,16.28
B,Sylvia,curruca,0.517,11.354
B,Sylvia,curruca,0.424,12.014
B,Sylvia,curruca,0.451,11.372
B,Sylvia,curruca,0.451,11.372
B,Sylvia,curruca,0.486,11.646
B,Sylvia,curruca,0.42,11.02
B,Sylvia,curruca,0.6,11.8
B,Loxia,curvirostra,1.39,24.9
B,Loxia,curvirostra,1.293,41.024
B,Loxia,curvirostra,1.472,44.124
B,Loxia,curvirostra,1.507,45.68
B,Loxia,curvirostra,1.606,44.11
B,Loxia,curvirostra,1.606,44.11
B,Loxia,curvirostra,1.31,29.864
B,Loxia,curvirostra,1.45,36.2
B,Loxia,curvirostra,1.209,28.224
B,Loxia,curvirostra,1.118,20.403
B,Loxia,curvirostra,1.188,20.476
B,Loxia,curvirostra,1.105,21.627
B,Loxia,curvirostra,1.111,21.263
B,Loxia,curvirostra,1.088,22.098
B,Luscinia,cyane,0.485,11.344
B,Luscinia,cyane,0.49,11.118
B,Luscinia,cyane,0.463,12.653
B,Luscinia,cyane,0.423,10.971
B,Luscinia,cyane,0.325,10.851
B,Luscinia,cyane,0.493,17.412
B,Luscinia,cyane,0.45,10.95
B,Luscinia,cyane,0.4,11.1
B,Pitta,cyanea,1.8,110.6
B,Platysteira,cyanea,0.6,19.95
B,Platysteira,cyanea,0.59,10.5
B,Cyanerpes,cyaneus,0.459,10.01
B,Cyanerpes,cyaneus,0.43,11.2
B,Psittacula,cyanocephala,2.6,64.92
B,Psittacula,cyanocephala,2.35,70.23
B,Psittacula,cyanocephala,2.37,54.15
B,Psittacula,cyanocephala,2.9,62.9
B,Uraeginthus,cyanocephalus,0.47,7.8
B,Eos,cyanogenia,4.607,144.876
B,Chloropsis,cyanopogon,0.68,16.5
B,Forpus,cyanopygius,1.38,13.8
B,Minla,cyanouroptera,0.63,12.2
B,Cyanopica,cyanus,2.06,67.6
B,Parus,cyanus,0.65,9
B,Parus,cyanus,0.66,10.9
B,Psarisomus,dalhousiae,1.1,49.6
B,Psarisomus,dalhousiae,1.699,49.574
B,Psarisomus,dalhousiae,1.78,59.4
B,Trachyphonus,darnaudii,0.9,37.3
B,Streptopelia,decaocto,1.486,171.2
B,Streptopelia,decaocto,1.495,149.89
B,Streptopelia,decaocto,1.45,134.4
B,Streptopelia,decaocto,1.37,205.101
B,Streptopelia,decaocto,1.527,215.942
B,Streptopelia,decaocto,1.66,196.889
B,Streptopelia,decaocto,1.529,220.95
B,Larus,delawarensis,8.72,720
B,Coturnix,delegorguei,0.62,62.363
B,Petronia,dentata,0.494,14.26
B,Psittacula,derbiana,6.3,219.8
B,Psittaculirostris,desmarestii,2.9,108.8
B,Yuhina,diademata,0.747,23.381
B,Lophura,diardi,3.602,932
B,Lophura,diardi,3.558,606
B,Lophura,diardi,3.35,535
B,Lophura,diardi,3.794,1240
B,Dinemellia,dinemelli,1.42,44.7
B,Dinemellia,dinemelli,2.05,61.3
B,Cyclopsitta,diophthalma,1.939,36.337
B,Lathamus,discolor,2.16,77.3
B,Lathamus,discolor,2.15,70
B,Lathamus,discolor,2.27,65.8
B,Lathamus,discolor,2.56,69.1
B,Lathamus,discolor,2.54,47.7
B,Passer,domesticus,0.9,29
B,Passer,domesticus,0.8,22.2
B,Passer,domesticus,0.9,27.4
B,Passer,domesticus,0.95,28
B,Passer,domesticus,0.8,27
B,Passer,domesticus,0.98,26.4
B,Passer,domesticus,0.9,27.3
B,Passer,domesticus,0.92,26.1
B,Passer,domesticus,0.95,25.7
B,Passer,domesticus,0.851,29.815
B,Passer,domesticus,0.84,29.466
B,Passer,domesticus,1.005,30.685
B,Passer,domesticus,0.9,28
B,Passer,domesticus,0.897,28.655
B,Passer,domesticus,1,31.8
B,Passer,domesticus,0.935,32.817
B,Passer,domesticus,0.825,30.978
B,Passer,domesticus,0.85,28.158
B,Passer,domesticus,0.963,30.095
B,Passer,domesticus,0.889,28.986
B,Passer,domesticus,0.898,31.2
B,Passer,domesticus,0.95,29.5
B,Passer,domesticus,0.98,26.6
B,Passer,domesticus,0.75,35.97
B,Passer,domesticus,0.878,26.092
B,Passer,domesticus,0.794,31.009
B,Passer,domesticus,0.971,30.065
B,Passer,domesticus,1.08,23.5
B,Passer,domesticus,0.98,30.1
B,Passer,domesticus,0.845,28.21
B,Passer,domesticus,1,33
B,Passer,domesticus,0.908,30.776
B,Passer,domesticus,1.08,31.5
B,Passer,domesticus,0.921,27.193
B,Passer,domesticus,0.806,27.594
B,Passer,domesticus,0.898,30.966
B,Passer,domesticus,0.895,27.75
B,Passer,domesticus,0.986,21.928
B,Passer,domesticus,0.934,24.34
B,Passer,domesticus,0.9,27.75
B,Passer,domesticus,0.879,27.649
B,Passer,domesticus,1,29
B,Passer,domesticus,0.714,26.081
B,Passer,domesticus,0.9,28.7
B,Passer,domesticus,0.777,27.895
B,Passer,domesticus,0.771,26.024
B,Passer,domesticus,0.348,29.75
B,Passer,domesticus,0.78,28.4
B,Passer,domesticus,0.95,29.45
B,Passer,domesticus,1,28.6
B,Passer,domesticus,0.97,31.12
B,Passer,domesticus,0.89,28.2
B,Passer,domesticus,0.85,30.6
B,Passer,domesticus,0.95,33.9
B,Passer,domesticus,0.96,29.9
B,Passer,domesticus,1.08,31.5
B,Passer,domesticus,0.947,32.071
B,Passer,domesticus,0.78,27.9
B,Passer,domesticus,0.75,29.7
B,Passer,domesticus,0.78,26.5
B,Passer,domesticus,0.88,29.5
B,Passer,domesticus,1.0185,23.26
B,Passer,domesticus,1.0278,23.57
B,Passer,domesticus,1.05,23.1
B,Pluvialis,dominica,2.13,132.303
B,Pluvialis,dominica,1.619,121.613
B,Paroaria,dominicana,1.25,26.6
B,Paroaria,dominicana,1.15,28
B,Paroaria,dominicana,1.09,245
B,Serinus,donaldsoni,0.879,18.984
B,Serinus,donaldsoni,0.824,19.706
B,Serinus,dorsostriatus,0.564,17.372
B,Serinus,dorsostriatus,0.408,9.766
B,Scissirostrum,dubium,1.33,38.7
B,Scissirostrum,dubium,1.33,38.7
B,Charadrius,dubius,0.732,41.522
B,Charadrius,dubius,0.824,39.276
B,Lybius,dubius,1.99,86.3
B,Chalcopsitta,duivenbodei,5.5,181.5
B,Chalcopsitta,duivenbodei,5.06,181.1
B,Polioptila,dumicola,0.43,7.1
B,Mino,dumontii,3.15,120
B,Mino,dumontii,2.784,217.468
B,Euschistospiza,dybowskii,0.51,8.5
B,Euschistospiza,dybowskii,0.44,9.611
B,Euschistospiza,dybowskii,0.54,11.3
B,Lophura,edwardsi,3.817,880
B,Lophura,edwardsi,3.2,919
B,Lophura,edwardsi,3.5,964
B,Lophura,edwardsi,3.58,977
B,Psittaculirostris,edwardsii,2.7,88
B,Emberiza,elegans,0.65,11.3
B,Emberiza,elegans,0.65,11.3
B,Neophema,elegans,1.311,44.935
B,Platycercus,elegans,3.05,109.52
B,Platycercus,elegans,4.05,148.9
B,Platycercus,elegans,4.88,168
B,Syrmaticus,ellioti,2.958,535
B,Syrmaticus,ellioti,3.52,913
B,Passer,eminibey,0.65,13.6
B,Pinicola,enucleator,1.671,35.381
B,Pinicola,enucleator,1.439,34.409
B,Pinicola,enucleator,1.438,43.086
B,Pinicola,enucleator,1.368,41.534
B,Pinicola,enucleator,1.369,65.449
B,Pyrrhoplectes,epauletta,0.661,23.017
B,Thraupis,episcopus,1.04,37.35
B,Upupa,epops,1.37,34.5
B,Upupa,epops,1.23,41.3
B,Upupa,epops,1.33,43.25
B,Upupa,epops,1.13,36.3
B,Psittacus,erithacus,8.7,254
B,Psittacus,erithacus,6.92,427.3
B,Psittacus,erithacus,7.45,240.3
B,Psittacus,erithacus,9.689,380.412
B,Psittacus,erithacus,8.67,327
B,Psittacus,erithacus,9.68,416.5
B,Psittacus,erithacus,7.9,273.2
B,Psittacus,erithacus,9.75,342
B,Pyrrhula,erythaca,0.809,23.567
